,Geo_FIPS,SE_T093_001,SE_T058_010,ratio10,ratio00
95,36005019700,22904.0,9345.0,0.15531253635593079,0.4509105226892411
96,36005019900,22231.0,47902.0,0.7961242500290847,0.437661187124717
97,36005020100,21398.0,,,0.42126193522984545
98,36005020200,35000.0,21474.0,0.35689474646412606,0.6890441972635102
99,36005020400,34024.0,22813.0,0.37914873107414115,0.6698297076483906
100,36005020601,29831.0,14766.0,0.24540876531104056,0.5872822128162221
101,36005021100,19109.0,,,0.37619844472881186
102,36005021200,34444.0,32409.0,0.5386328508035699,0.6780982380155527
103,36005021301,15603.0,,,0.3071759031400728
104,36005021302,24899.0,,,0.49018604193326115
105,36005021501,18207.0,,,0.358440791416478
106,36005021502,16768.0,,,0.3301112314204154
107,36005021601,33955.0,25417.0,0.422426831092423,0.6684713062309282
108,36005021602,34866.0,103750.0,1.7243098605594243,0.6864061423368442
