Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Bronx,005,2,040600,"1,189",005040600
Bronx,005,2,040701,"1,170",005040701
Bronx,005,2,040702,"2,375",005040702
Bronx,005,2,040800,"1,499",005040800
Bronx,005,2,040900,"1,431",005040900
Bronx,005,2,041100,"1,155",005041100
Bronx,005,2,041300,"2,793",005041300
Bronx,005,2,041400,"1,734",005041400
Bronx,005,2,041500,"2,172",005041500
Bronx,005,2,041800,"1,236",005041800
Bronx,005,2,041900,"2,460",005041900
Bronx,005,2,042000,"1,388",005042000
Bronx,005,2,042100,"2,239",005042100
Bronx,005,2,042200,"1,140",005042200
Bronx,005,2,042300,"1,428",005042300
Bronx,005,2,042400,809,005042400
Bronx,005,2,042500,"2,149",005042500
Bronx,005,2,042600,"2,129",005042600
Bronx,005,2,042800,725,005042800
Bronx,005,2,042901,"1,186",005042901
Bronx,005,2,042902,"1,380",005042902
Bronx,005,2,043000,997,005043000
Bronx,005,2,043100,"3,446",005043100
Bronx,005,2,043400,"1,300",005043400
Bronx,005,2,043500,12,005043500
Bronx,005,2,043600,678,005043600
Bronx,005,2,044200,"1,257",005044200
Bronx,005,2,044400,"1,311",005044400
Bronx,005,2,044800,662,005044800
Bronx,005,2,044901,872,005044901
Bronx,005,2,044902,920,005044902
Bronx,005,2,045101,851,005045101
Bronx,005,2,045102,931,005045102
Bronx,005,2,045600,"1,049",005045600
Bronx,005,2,045800,"2,013",005045800
Bronx,005,2,046000,979,005046000
Bronx,005,2,046201,"12,426",005046201
Bronx,005,2,046202,"2,547",005046202
Bronx,005,2,048400,"1,197",005048400
Bronx,005,2,050400,19,005050400
Bronx,005,2,051600,"2,025",005051600
Brooklyn,047,3,000100,"2,227",047000100
Brooklyn,047,3,000200,360,047000200
Brooklyn,047,3,000301,"2,020",047000301
Brooklyn,047,3,000501,"1,879",047000501
Brooklyn,047,3,000502,"1,509",047000502
Brooklyn,047,3,000700,"1,726",047000700
Brooklyn,047,3,000900,"1,965",047000900
Brooklyn,047,3,001100,39,047001100
Brooklyn,047,3,001300,977,047001300
Brooklyn,047,3,001500,"1,453",047001500
