GEO_ID,CENSUSAREA,income_change_field_1,income_change_Geo_FIPS,income_change_SE_T058_001,income_change_SE_T058_010,income_change_prec_change,NUMPOINTS
1400000US36047020400,0.05200,421,1687282032,66757.00000,62000.00000,-7.12584,0
1400000US36047021000,0.05800,426,1687282632,53586.00000,58082.00000,8.39025,79
1400000US36047021400,0.06500,429,1687283032,27917.00000,21458.00000,-23.13644,50
1400000US36047021800,0.06100,433,1687283432,32333.00000,31943.00000,-1.20620,82
1400000US36047022400,0.06800,438,1687284032,38244.00000,40741.00000,6.52913,135
1400000US36047022900,0.06600,442,1687284532,51711.00000,72639.00000,40.47108,81
1400000US36047023300,0.06600,446,1687284932,35530.00000,52171.00000,46.83648,141
1400000US36047024000,0.06600,451,1687285632,36769.00000,33882.00000,-7.85172,35
1400000US36047024700,0.07000,458,1687286332,33480.00000,54922.00000,64.04421,286
1400000US36047025200,0.07000,463,1687286832,45968.00000,47188.00000,2.65402,146
1400000US36047025500,0.05400,466,1687287132,16670.00000,,,3
1400000US36047025901,0.03100,470,1687287533,26053.00000,180033.00000,591.02599,263
1400000US36047026200,0.06100,474,1687287832,41633.00000,51875.00000,24.60068,9
1400000US36047027000,0.05200,482,1687288632,32917.00000,30000.00000,-8.86168,111
1400000US36027221100,0.32900,,,,,,0
1400000US36027300000,1.10800,,,,,,0
1400000US36027610000,1.23800,,,,,,0
1400000US36027640001,0.11700,,,,,,0
1400000US36029000600,0.44900,,,,,,0
1400000US36029001402,0.42000,,,,,,0
1400000US36029003000,0.54700,,,,,,0
1400000US36029003700,0.42400,,,,,,0
1400000US36029004401,0.38600,,,,,,0
1400000US36029004700,0.57200,,,,,,0
1400000US36029005202,0.22300,,,,,,0
1400000US36029005600,0.84900,,,,,,0
1400000US36029006201,0.18400,,,,,,0
1400000US36029006601,0.15100,,,,,,0
1400000US36029006901,0.22800,,,,,,0
1400000US36029007202,0.38700,,,,,,0
1400000US36029007800,1.44500,,,,,,0
1400000US36029007904,0.52000,,,,,,0
1400000US36029008101,1.29900,,,,,,0
1400000US36029008500,0.20200,,,,,,0
1400000US36029008800,0.36100,,,,,,0
1400000US36029009008,1.47600,,,,,,0
1400000US36029009112,1.27800,,,,,,0
1400000US36029009116,1.05400,,,,,,0
1400000US36029009501,1.22200,,,,,,0
1400000US36029009900,0.78600,,,,,,0
1400000US36029010300,0.16300,,,,,,0
1400000US36029010805,1.07200,,,,,,0
1400000US36029010809,0.60300,,,,,,0
1400000US36029010901,1.17400,,,,,,0
1400000US36029010902,1.59300,,,,,,0
1400000US36029011000,0.44300,,,,,,0
1400000US36029011400,0.30000,,,,,,0
1400000US36029011800,1.37400,,,,,,0
1400000US36029012400,0.51300,,,,,,0
1400000US36029013002,2.00700,,,,,,0
1400000US36029013300,0.91600,,,,,,0
1400000US36029013900,0.84000,,,,,,0
1400000US36029014207,1.92800,,,,,,0
1400000US36029014209,1.07200,,,,,,0
1400000US36029014603,4.14500,,,,,,0
1400000US36029014901,2.71800,,,,,,0
1400000US36029014904,1.37800,,,,,,0
1400000US36029015301,21.43600,,,,,,0
1400000US36029015501,1.41700,,,,,,0
1400000US36029015900,3.67400,,,,,,0
1400000US36029017300,3.74500,,,,,,0
1400000US36029940100,1.83900,,,,,,0
1400000US36031961000,64.49100,,,,,,0
1400000US36033940000,18.94000,,,,,,0
1400000US36033950700,343.75300,,,,,,0
1400000US36035970400,107.75400,,,,,,0
1400000US36035970900,0.60100,,,,,,0
1400000US36035971400,26.08300,,,,,,0
1400000US36037950500,0.86500,,,,,,0
1400000US36037950600,0.61500,,,,,,0
1400000US36037950700,1.04200,,,,,,0
1400000US36037950800,0.50800,,,,,,0
1400000US36039080800,0.63100,,,,,,0
1400000US36041950400,300.12000,,,,,,0
1400000US36043010201,1.87300,,,,,,0
1400000US36043010701,1.81300,,,,,,0
1400000US36043011001,1.51800,,,,,,0
1400000US36045060300,105.75300,,,,,,0
1400000US36045060400,77.38200,,,,,,0
1400000US36045060803,6.65000,,,,,,0
1400000US36045061200,0.90300,,,,,,0
1400000US36045061900,1.31500,,,,,,0
1400000US36045990001,0.00000,,,,,,0
1400000US36047000501,0.03200,1997,1687262133,80107.00000,101176.00000,26.30107,11
1400000US36047000900,0.06200,275,1687262532,97385.00000,113323.00000,16.36597,49
1400000US36047002000,0.06000,279,1687263632,34063.00000,112697.00000,230.84872,81
1400000US36047002901,0.04000,283,1687264533,9001.00000,,,0
1400000US36047003500,0.05100,288,1687265132,50550.00000,101875.00000,101.53314,44
1400000US36047003900,0.06100,292,1687265532,55972.00000,112031.00000,100.15543,138
1400000US36047004700,0.12800,297,1687266332,104875.00000,121111.00000,15.48129,36
1400000US36047005201,0.05500,301,1687266833,24917.00000,25885.00000,3.88490,25
1400000US36047005602,0.06300,305,1687267234,56713.00000,55278.00000,-2.53028,96
1400000US36047006200,0.06300,309,1687267832,52339.00000,54375.00000,3.89002,87
1400000US36047006600,0.05900,313,1687268232,47119.00000,46605.00000,-1.09086,207
1400000US36047007100,0.06500,318,1687268732,37878.00000,95449.00000,151.99060,17
1400000US36047007600,0.05400,322,1687269232,37911.00000,64427.00000,69.94276,214
1400000US36047008000,0.05200,325,1687269632,27703.00000,85125.00000,207.27719,118
1400000US36047008600,0.04400,329,1687270232,,,,0
1400000US36047009400,0.05800,333,1687271032,39830.00000,56610.00000,42.12905,159
1400000US36047010200,0.05900,338,1687271832,37704.00000,71917.00000,90.74104,113
1400000US36047099400,0.06700,914,1687361032,83380.00000,57679.00000,-30.82394,24
1400000US36047099600,0.07300,915,1687361232,67075.00000,37375.00000,-44.27879,30
1400000US36047099800,0.16200,916,1687361432,53208.00000,20000.00000,-62.41167,95
1400000US36047100400,0.05100,917,1687362032,63882.00000,69545.00000,8.86478,33
1400000US36047101000,0.06600,920,1687362632,62896.00000,44485.00000,-29.27213,50
1400000US36047101600,0.04300,923,1687363232,84853.00000,46576.00000,-45.10978,11
1400000US36047102200,0.06300,926,1687363832,51827.00000,42679.00000,-17.65103,37
1400000US36047105801,0.16100,2039,1687367433,25032.00000,13231.00000,-47.14366,46
1400000US36047110600,0.06600,934,1687372232,26425.00000,,,0
1400000US36047111000,0.04800,935,1687372632,19005.00000,42738.00000,124.87766,0
1400000US36047112200,0.06300,938,1687373832,43485.00000,2499.00000,-94.25319,355
1400000US36047113200,0.07700,943,1687374832,47708.00000,,,186
1400000US36047114600,0.06200,947,1687376232,39231.00000,30833.00000,-21.40654,344
1400000US36047115600,0.06200,950,1687377232,17624.00000,,,249
1400000US36047116400,0.07000,954,1687378032,37865.00000,,,158
1400000US36047117202,0.05900,959,1687378834,38281.00000,36012.00000,-5.92722,152
1400000US36047117602,0.05600,962,1687379234,33375.00000,53611.00000,60.63221,75
1400000US36047118202,0.04800,966,1687379834,31651.00000,70556.00000,122.91871,243
1400000US36047119200,0.08700,971,1687380832,29097.00000,44773.00000,53.87497,217
1400000US36047120000,0.05800,974,1687381632,29537.00000,,,144
1400000US36047990100,0.00000,2048,1688251732,,,,0
1400000US36051030300,3.11800,,,,,,0
1400000US36051030500,0.33300,,,,,,0
1400000US36051031000,2.30200,,,,,,0
1400000US36051031400,2.39400,,,,,,0
1400000US36053940101,1.07400,,,,,,0
1400000US36055000200,0.60500,,,,,,0
1400000US36055001300,0.15500,,,,,,0
1400000US36055002100,0.40600,,,,,,0
1400000US36055002700,0.15300,,,,,,0
1400000US36055003200,0.22600,,,,,,0
1400000US36055003802,0.15400,,,,,,0
1400000US36055004000,0.13700,,,,,,0
1400000US36055004702,0.33300,,,,,,0
1400000US36047027500,0.06300,486,1687289132,52958.00000,77426.00000,46.20265,177
1400000US36047027600,0.05800,487,1687289232,34450.00000,29688.00000,-13.82293,48
1400000US36047027700,0.06300,488,1687289332,26676.00000,41842.00000,56.85260,466
1400000US36047027800,0.06200,489,1687289432,39575.00000,30872.00000,-21.99116,77
1400000US36047027900,0.06300,490,1687289532,37337.00000,,,253
1400000US36047028100,0.06300,492,1687289732,20052.00000,65179.00000,225.04987,274
1400000US36047028501,0.03200,496,1687290133,59583.00000,133214.00000,123.57719,55
1400000US36047028800,0.05900,500,1687290432,28407.00000,27420.00000,-3.47450,59
1400000US36047029300,0.06300,505,1687290932,29922.00000,9167.00000,-69.36368,229
1400000US36047029700,0.07900,509,1687291332,51944.00000,95125.00000,83.12991,81
1400000US36047030100,0.07500,513,1687291732,41646.00000,,,449
1400000US36047030600,0.07500,517,1687292232,40556.00000,35347.00000,-12.84397,26
1400000US36047030900,0.05500,520,1687292532,38933.00000,,,52
1400000US36047031701,0.05400,525,1687293333,33514.00000,47500.00000,41.73181,532
1400000US36047032100,0.06200,528,1687293732,36250.00000,90234.00000,148.92138,1079
1400000US36047032900,0.06000,534,1687294532,36113.00000,37788.00000,4.63822,637
1400000US36047033300,0.07200,537,1687294932,40262.00000,49464.00000,22.85530,135
1400000US36047033900,0.07000,541,1687295532,39955.00000,72692.00000,81.93468,352
1400000US36047034300,0.06300,545,1687295932,19452.00000,53281.00000,173.91014,244
1400000US36047035000,0.07600,549,1687296632,46180.00000,45757.00000,-0.91598,28
1400000US36047036300,0.10000,561,1687297932,34005.00000,,,550
1400000US36047036700,0.07100,566,1687298332,43542.00000,,,265
1400000US36047037100,0.07300,569,1687298732,41880.00000,52625.00000,25.65664,428
1400000US36047037700,0.07300,572,1687299332,46584.00000,9891.00000,-78.76739,457
1400000US36047038200,0.09000,575,1687299832,25399.00000,14762.00000,-41.87960,21
1400000US36047038800,0.07600,580,1687300432,43598.00000,43977.00000,0.86931,45
1400000US36047039200,0.06700,584,1687300832,36078.00000,40313.00000,11.73846,41
1400000US36047039600,0.06300,588,1687301232,41424.00000,59375.00000,43.33478,12
1400000US36047040100,0.06200,593,1687301732,30350.00000,8906.00000,-70.65568,301
1400000US36047040500,0.05300,597,1687302132,65795.00000,,,227
1400000US36047041000,0.05500,602,1687302632,38958.00000,37083.00000,-4.81288,11
1400000US36047041401,0.05200,606,1687303033,49226.00000,46653.00000,-5.22691,11
1400000US36047041600,0.06300,609,1687303232,41776.00000,36776.00000,-11.96859,95
1400000US36047042100,0.05900,614,1687303732,40464.00000,43462.00000,7.40905,174
1400000US36047042500,0.06500,618,1687304132,30025.00000,23250.00000,-22.56453,230
1400000US36047042900,0.06500,622,1687304532,30813.00000,43750.00000,41.98553,934
1400000US36047043400,0.05400,627,1687305032,43804.00000,38036.00000,-13.16775,104
1400000US36047044000,0.07800,633,1687305632,60958.00000,61250.00000,0.47902,47
1400000US36047044100,0.05500,634,1687305732,36299.00000,42684.00000,17.59002,634
1400000US36047044300,0.06400,636,1687305932,44198.00000,52697.00000,19.22938,382
1400000US36047044400,0.06700,637,1687306032,42130.00000,47800.00000,13.45834,49
1400000US36047044700,0.06100,640,1687306332,41648.00000,80972.00000,94.41990,56
1400000US36047045000,0.08700,642,1687306632,38643.00000,72143.00000,86.69099,14
1400000US36047045800,0.06900,647,1687307432,64063.00000,64063.00000,0.00000,49
1400000US36047046800,0.11100,651,1687308432,46848.00000,47446.00000,1.27647,2
1400000US36047047600,0.08000,655,1687309232,27153.00000,26944.00000,-0.76971,19
1400000US36047048200,0.07600,660,1687309832,30164.00000,30027.00000,-0.45418,332
1400000US36047048800,0.05500,663,1687310432,35586.00000,36250.00000,1.86590,59
1400000US36047049400,0.07100,669,1687311032,43596.00000,35417.00000,-18.76090,298
1400000US36047049800,0.07900,673,1687311432,51711.00000,62194.00000,20.27228,124
1400000US36047050202,0.05400,677,1687311834,82784.00000,84261.00000,1.78416,4
1400000US36047050600,0.06400,681,1687312232,32446.00000,59167.00000,82.35530,491
1400000US36047050804,0.04000,2019,1687312436,40188.00000,9632.00000,-76.03265,719
1400000US36047051200,0.05400,685,1687312832,41398.00000,54030.00000,30.51355,1190
1400000US36047051601,0.04500,2022,1687313233,32760.00000,15313.00000,-53.25702,1242
1400000US36047052000,0.07400,692,1687313632,47639.00000,47917.00000,0.58356,345
1400000US36047052600,0.06500,695,1687314232,56220.00000,47279.00000,-15.90359,95
1400000US36047053700,0.06500,705,1687315332,30938.00000,29375.00000,-5.05204,11
1400000US36047054200,0.07300,708,1687315832,44375.00000,43636.00000,-1.66535,110
1400000US36047054800,0.06700,714,1687316432,64896.00000,65292.00000,0.61021,56
1400000US36047055200,0.06500,718,1687316832,41509.00000,43468.00000,4.71946,152
1400000US36047055500,0.10100,721,1687317132,59767.00000,95673.00000,60.07663,27
1400000US36047056000,0.07100,725,1687317632,40078.00000,40547.00000,1.17022,53
1400000US36047056500,0.09700,729,1687318132,58214.00000,59241.00000,1.76418,241
1400000US36047057100,0.06800,734,1687318732,52440.00000,51146.00000,-2.46758,8
1400000US36047057400,0.06100,737,1687319032,74265.00000,82717.00000,11.38087,11
1400000US36047058000,0.06100,742,1687319632,43397.00000,35320.00000,-18.61189,76
1400000US36047058600,0.06300,745,1687320232,34205.00000,33750.00000,-1.33021,27
1400000US36047059100,0.07400,749,1687320732,56573.00000,54812.00000,-3.11279,65
1400000US36047059600,0.06700,754,1687321232,37012.00000,37256.00000,0.65925,12
1400000US36047061003,0.03100,2025,1687322635,32039.00000,25603.00000,-20.08802,51
1400000US36047061200,0.07700,760,1687322832,69286.00000,69286.00000,0.00000,1
1400000US36047063200,0.04500,765,1687324832,70714.00000,70476.00000,-0.33657,12
1400000US36047064600,0.06400,771,1687326232,80978.00000,82538.00000,1.92645,0
1400000US36047064800,0.05900,772,1687326432,56504.00000,61094.00000,8.12332,13
1400000US36047065000,0.06400,773,1687326632,60257.00000,44542.00000,-26.07996,16
